Network,Density,Centrality,,,,,
1,0.231604607,0.095098806,,,,,
2,0.235276764,0.108672888,,,,,
3,0.225091403,0.312956677,,,,threshold,15
4,0.118605684,0.312956677,,,,pass1link,8
5,0.127461362,0.146909977,,,,pass2link,12
6,0.240833327,0.074341135,,,,,
7,0.223131314,0.025111644,,,,,
8,0.069019093,0.118644487,,,,,
9,0.081110314,0.056960766,,,,,
10,0,0.11192466,,,,,
